Base_Profile_ID,Persona,Mood,Device,Antecedent,UI_Adaptations,Num_UI_Adaptations,Base_Profile_Score,Strength,Participants,Avg_Support,Avg_Confidence,Avg_Lift,Avg_Cramers_V,Avg_RF_Importance,Avg_SHAP,Num_Statistically_Significant,Num_Supporting_Rules,Merged_Count,Merged_Profile_IDs
12,,Relaxed,,Mood=Relaxed,"Desktop_image_text_ratio=Image-focused (80% images, 20% text - highly ... | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",7,0.533035,Weak,28,0.138846,0.712032,1.07857,0.194558,0.135937,0.021968,0,13,2,"23, 28"
13,,Bored,,Mood=Bored,"Desktop_image_text_ratio=Image-focused (80% images, 20% text - highly ... | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_button_style_pref=Rounded Corners (Soft, modern rounded edges) | Global_hero_banner_size=Medium Split (Takes up half the screen) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_category_display=Dropdown Menu (Text-based dropdown list) | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_review_display=Collapsible Sections (Reviews can be expanded... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",11,0.529345,Weak,12,0.060526,0.672515,1.163676,0.207164,0.133476,0.022654,1,19,2,"11, 17"
14,Researcher,Neutral,Smartphone,"Device=Smartphone, Mood=Neutral, Persona=Researcher","Desktop_filter_location=Sidebar Left (Permanent filter panel on the l... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",8,0.527979,Weak,13,0.066154,0.696356,1.110771,0.191391,0.143841,0.016755,1,13,1,20
15,Loyal Customer,,,Persona=Loyal Customer,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",6,0.527789,Weak,16,0.082083,0.746212,1.069915,0.164487,0.134294,0.021502,1,12,1,2
16,Impulsive Buyer,,,Persona=Impulsive Buyer,"Desktop_category_display=Visual Grid (Category tiles with images) | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_hero_banner_size=Medium Split (Takes up half the screen) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_quick_view=Slide-Up Panel (Preview product details in a ... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",10,0.526702,Weak,19,0.09625,0.6875,1.220837,0.161214,0.133039,0.022893,1,24,2,"8, 10"
17,Loyal Customer,,Smartphone,"Device=Smartphone, Persona=Loyal Customer","Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_quick_view=Sidebar Slide (Details slide in from the right) | Desktop_review_display=Recent 3- 5 (Show a few recent reviews) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_grid_pref=Compact stacked cards (more products per screen) | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_quick_view=Slide-Up Panel (Preview product details in a ... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",9,0.526288,Weak,13,0.06381,0.708995,1.181011,0.167742,0.132996,0.021376,2,21,1,4
18,Minimalist,Neutral,,"Mood=Neutral, Persona=Minimalist","Desktop_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_quick_view=Sidebar Slide (Details slide in from the right) | Desktop_whitespace=Balanced | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_social_proof_display=Customer Reviews (Written reviews with ratings) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_navigation=Bottom Nav (Navigation bar at the bottom - mo... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",11,0.525098,Weak,12,0.061957,0.688406,1.185856,0.196501,0.140159,0.01567,0,23,1,5
19,,Neutral,,Mood=Neutral,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",7,0.514242,Weak,54,0.272083,0.70671,1.012987,0.196796,0.134891,0.02068,0,12,2,"14, 18"
20,Researcher,Neutral,,"Mood=Neutral, Persona=Researcher","Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",7,0.513985,Weak,17,0.082692,0.689103,1.037389,0.188029,0.142542,0.017353,1,13,1,16
21,Browser,,,Persona=Browser,"Desktop_image_text_ratio=Image-focused (80% images, 20% text - highly ... | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_checkout_style=One Page (All checkout steps on a single scro... | Global_recommendation_type=Deals (Products on sale or special offers) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_review_display=Collapsible Sections (Reviews can be expanded... | Mobile_whitespace=Balanced",9,0.495542,Weak,21,0.10375,0.691667,1.109168,0.166976,0.134459,0.02232,2,12,1,21
22,Researcher,,,Persona=Researcher,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",7,0.495121,Weak,38,0.1875,0.721154,1.060547,0.156769,0.135608,0.019128,0,12,2,"13, 15"
23,Browser,,Smartphone,"Device=Smartphone, Persona=Browser","Desktop_image_text_ratio=Image-focused (80% images, 20% text - highly ... | Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_checkout_style=One Page (All checkout steps on a single scro... | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_review_display=Collapsible Sections (Reviews can be expanded... | Mobile_whitespace=Balanced",7,0.486163,Weak,19,0.095,0.703704,1.098741,0.159764,0.13526,0.019646,0,10,1,19
24,Minimalist,,,Persona=Minimalist,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_filter_location=Drawer Overlay (Slides in from the side when ... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",7,0.475794,Weak,31,0.153182,0.696281,1.00174,0.161201,0.134445,0.020595,0,11,2,"27, 31"
25,,,Laptop/Desktop,Device=Laptop/Desktop,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Desktop_whitespace=Balanced | Global_accent_color_pref=Blue (Trustworthy, professional, calm) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_review_display=Collapsible Sections (Reviews can be expanded... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_touch_size=Standard (Normal size, more content visible) | Mobile_whitespace=Balanced",8,0.285532,Weak,27,0.134375,0.726351,1.107077,0.086675,0.034729,0.026864,0,16,1,7
26,,,Smartphone,Device=Smartphone,"Desktop_info_density=Moderate (Balanced - some details visible, cl... | Desktop_persistent_filters=Yes (Always visible sidebar with filters) | Global_whitespace_pref=Balanced (Moderate spacing - comfortable midd... | Mobile_image_text_ratio=Balanced (50% images, 50% text - equal emphasis) | Mobile_info_density=Moderate (Balanced - some details visible, cl... | Mobile_price_display=Strike-through Original (Shows original price... | Mobile_sticky_header=Yes (Header stays at top while scrolling) | Mobile_whitespace=Balanced",6,0.236689,Weak,115,0.573182,0.703291,0.988304,0.061759,0.035419,0.026006,0,11,2,"22, 24"
