UI_Group,UI_Target,accuracy,precision,recall,macro_f1,Best_Params
Global_UI,font_style_pref,0.225,0.16666666666666669,0.18685897435897436,0.17579365079365078,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Global_UI,font_size_pref,0.4,0.19940476190476192,0.23923444976076555,0.21329787234042552,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Global_UI,color_theme_pref,0.275,0.3587962962962963,0.27314814814814814,0.27301587301587305,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Global_UI,accent_color_pref,0.55,0.12394957983193278,0.1488095238095238,0.13201970443349756,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Global_UI,background_pref,0.275,0.17948717948717946,0.2033333333333333,0.18709454796411318,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Global_UI,whitespace_pref,0.75,0.25,0.3333333333333333,0.2857142857142857,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Global_UI,button_style_pref,0.4,0.46527777777777785,0.3661764705882353,0.37539580658964483,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Global_UI,hero_banner_size,0.4,0.1529017857142857,0.19780219780219782,0.16650943396226414,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Global_UI,recommendation_type,0.45,0.33333333333333337,0.30921052631578944,0.3024010872848082,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Global_UI,social_proof_display,0.4,0.16695652173913045,0.21904761904761902,0.188021778584392,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Global_UI,urgency_pref,0.375,0.3408333333333333,0.3137529137529137,0.3180901856763926,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Global_UI,checkout_style,0.4,0.16140350877192983,0.2125,0.18285714285714286,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"
Global_UI,form_field_style,0.075,0.027046783625730993,0.040625,0.031947261663286,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Global_UI,product_desc_length,0.325,0.30833333333333335,0.28535353535353536,0.2841269841269841,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
