Predictor,Importance
Neuroticism,0.15531191497631147
Conscientiousness,0.1405418980007257
Openness,0.13685840998334767
Agreeableness,0.1347412907074057
primary_persona,0.13450161260632307
Extraversion,0.132684382319427
current_mood,0.12980608888178213
primary_device,0.03555440252467725
