UI_Group,UI_Target,Predictor,Importance,Rank
Global_UI,font_style_pref,Neuroticism,0.166754478221572,1
Global_UI,font_style_pref,Openness,0.15046080604447154,2
Global_UI,font_style_pref,Conscientiousness,0.1385703926872391,3
Global_UI,font_style_pref,primary_persona,0.1362914619065732,4
Global_UI,font_style_pref,Agreeableness,0.13530843984507185,5
Global_UI,font_style_pref,current_mood,0.12214221307269318,6
Global_UI,font_style_pref,Extraversion,0.12088186241753178,7
Global_UI,font_style_pref,primary_device,0.02959034580484736,8
Global_UI,font_size_pref,Neuroticism,0.17503920832986536,1
Global_UI,font_size_pref,Extraversion,0.13918540578219046,2
Global_UI,font_size_pref,Agreeableness,0.13364526240544547,3
Global_UI,font_size_pref,Conscientiousness,0.13135409241112767,4
Global_UI,font_size_pref,Openness,0.13110587513381194,5
Global_UI,font_size_pref,primary_persona,0.13076098391873825,6
Global_UI,font_size_pref,current_mood,0.12595181552081453,7
Global_UI,font_size_pref,primary_device,0.03295735649800619,8
Global_UI,color_theme_pref,primary_persona,0.16154343095804555,1
Global_UI,color_theme_pref,Neuroticism,0.14560449805746994,2
Global_UI,color_theme_pref,current_mood,0.14138958035995777,3
Global_UI,color_theme_pref,Openness,0.13655751213590886,4
Global_UI,color_theme_pref,Conscientiousness,0.1338840303210592,5
Global_UI,color_theme_pref,Agreeableness,0.12354865249626308,6
Global_UI,color_theme_pref,Extraversion,0.11721813614842572,7
Global_UI,color_theme_pref,primary_device,0.04025415952286986,8
Global_UI,accent_color_pref,current_mood,0.14699427782432262,1
Global_UI,accent_color_pref,Openness,0.1450076649591867,2
Global_UI,accent_color_pref,Conscientiousness,0.14218398238126695,3
Global_UI,accent_color_pref,primary_persona,0.13709332300804267,4
Global_UI,accent_color_pref,Agreeableness,0.13371515671823941,5
Global_UI,accent_color_pref,Neuroticism,0.13138823588790538,6
Global_UI,accent_color_pref,Extraversion,0.12492410735329537,7
Global_UI,accent_color_pref,primary_device,0.038693251867740946,8
Global_UI,background_pref,Neuroticism,0.15390183913549016,1
Global_UI,background_pref,Conscientiousness,0.14068452027860537,2
Global_UI,background_pref,primary_persona,0.13609663152804427,3
Global_UI,background_pref,Openness,0.1358267464414914,4
Global_UI,background_pref,Extraversion,0.13265390723887888,5
Global_UI,background_pref,current_mood,0.1304184077306715,6
Global_UI,background_pref,Agreeableness,0.12928726664492232,7
Global_UI,background_pref,primary_device,0.0411306810018962,8
Global_UI,whitespace_pref,current_mood,0.15077847835127237,1
Global_UI,whitespace_pref,Neuroticism,0.150640682587615,2
Global_UI,whitespace_pref,Extraversion,0.14401815930069686,3
Global_UI,whitespace_pref,Conscientiousness,0.14077437628960623,4
Global_UI,whitespace_pref,Agreeableness,0.13570756013758153,5
Global_UI,whitespace_pref,Openness,0.12955681202140867,6
Global_UI,whitespace_pref,primary_persona,0.12297392332324214,7
Global_UI,whitespace_pref,primary_device,0.02555000798857728,8
Global_UI,button_style_pref,Neuroticism,0.1666568725148211,1
Global_UI,button_style_pref,Conscientiousness,0.14063473005541907,2
Global_UI,button_style_pref,Extraversion,0.1381308573111526,3
Global_UI,button_style_pref,Openness,0.13426093696402572,4
Global_UI,button_style_pref,primary_persona,0.132906554066411,5
Global_UI,button_style_pref,current_mood,0.127941775683174,6
Global_UI,button_style_pref,Agreeableness,0.12486230501435994,7
Global_UI,button_style_pref,primary_device,0.034605968390636545,8
Global_UI,hero_banner_size,Neuroticism,0.1608969971318128,1
Global_UI,hero_banner_size,Openness,0.14528784329387406,2
Global_UI,hero_banner_size,Extraversion,0.14208213170730408,3
Global_UI,hero_banner_size,Agreeableness,0.13894549692617186,4
Global_UI,hero_banner_size,current_mood,0.1328925633549984,5
Global_UI,hero_banner_size,Conscientiousness,0.1279118716460156,6
Global_UI,hero_banner_size,primary_persona,0.12668625390249805,7
Global_UI,hero_banner_size,primary_device,0.025296842037325108,8
Global_UI,recommendation_type,Neuroticism,0.15404705777575067,1
Global_UI,recommendation_type,Agreeableness,0.14348629379316602,2
Global_UI,recommendation_type,Extraversion,0.14031089187920903,3
Global_UI,recommendation_type,primary_persona,0.1385384093872809,4
Global_UI,recommendation_type,Conscientiousness,0.13255964757731,5
Global_UI,recommendation_type,Openness,0.12642049654846313,6
Global_UI,recommendation_type,current_mood,0.1253163263402564,7
Global_UI,recommendation_type,primary_device,0.039320876698563864,8
Global_UI,social_proof_display,Neuroticism,0.16056404081992362,1
Global_UI,social_proof_display,Conscientiousness,0.146881718781076,2
Global_UI,social_proof_display,primary_persona,0.14676569476343285,3
Global_UI,social_proof_display,Agreeableness,0.1350304743135298,4
Global_UI,social_proof_display,Openness,0.13205205967729555,5
Global_UI,social_proof_display,current_mood,0.12146956130511141,6
Global_UI,social_proof_display,Extraversion,0.11841663754070224,7
Global_UI,social_proof_display,primary_device,0.03881981279892857,8
Global_UI,urgency_pref,Neuroticism,0.15418811338782162,1
Global_UI,urgency_pref,primary_persona,0.14363650632084932,2
Global_UI,urgency_pref,Conscientiousness,0.13998812936776991,3
Global_UI,urgency_pref,Extraversion,0.13906767928072752,4
Global_UI,urgency_pref,Agreeableness,0.13817849780574534,5
Global_UI,urgency_pref,Openness,0.1303351450390472,6
Global_UI,urgency_pref,current_mood,0.11705928349680536,7
Global_UI,urgency_pref,primary_device,0.037546645301233895,8
Global_UI,checkout_style,Neuroticism,0.17245258744732944,1
Global_UI,checkout_style,Conscientiousness,0.16140574643524588,2
Global_UI,checkout_style,primary_persona,0.13331490324098816,3
Global_UI,checkout_style,Openness,0.13128933954874547,4
Global_UI,checkout_style,Agreeableness,0.12767583397914614,5
Global_UI,checkout_style,current_mood,0.12262286125143029,6
Global_UI,checkout_style,Extraversion,0.11986468173880097,7
Global_UI,checkout_style,primary_device,0.031374046358313715,8
Global_UI,form_field_style,primary_persona,0.15866901745945894,1
Global_UI,form_field_style,Extraversion,0.14088672627544627,2
Global_UI,form_field_style,Conscientiousness,0.14032996099058007,3
Global_UI,form_field_style,Agreeableness,0.13255623704090114,4
Global_UI,form_field_style,Neuroticism,0.1323205105097069,5
Global_UI,form_field_style,Openness,0.1312459616824921,6
Global_UI,form_field_style,current_mood,0.12696854810618446,7
Global_UI,form_field_style,primary_device,0.03702303793523013,8
Global_UI,product_desc_length,primary_persona,0.1540095354726442,1
Global_UI,product_desc_length,Neuroticism,0.1496140424630082,2
Global_UI,product_desc_length,Agreeableness,0.13844458513587132,3
Global_UI,product_desc_length,Openness,0.13679532333929262,4
Global_UI,product_desc_length,Extraversion,0.13178746687860707,5
Global_UI,product_desc_length,Conscientiousness,0.13097383704085022,6
Global_UI,product_desc_length,current_mood,0.12639583289271708,7
Global_UI,product_desc_length,primary_device,0.03197937677700926,8
